# Filename: 3Dvlt_macro_cp_Tv_Op19_P22.533_DK05e-07_lmax100_dl0.0001.dat
# Source: 3Dvlt_macro_cp.c
# Source version: 10 (2012 Jul 31 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, R=8.31447
# Parameter values: OpA=1, OpB=9, A3=41.3417022403997549418, THETA=0.6, N=3, lmax=100, lsteps=1000000, (dl=0.0001), lpts=1000001, DK0=5e-07, a0factor=548.4207880890000, KstarA=4.14677, Kthresh=4.14677
# Parameter values: Tc0=2.17349425585161, Tc1=-0.00982499579394534, Tc2=-0.000118194448444384, Tc3=-4.36914591522034e-07, Tc4=7.39407378262721e-09
# Parameter values: rho00=145.145109496329, rho10=-0.09765396930591511, rho20=0.334163407001684, rho30=-0.446930785976304, rho40=0.181879478545246, rho01=1.74477604495583, rho11=-0.09195389931790519, rho21=0.179844560873926, rho31=-0.133606331352667, rho41=0.0410225514249919, rho02=-0.0491655379690169, rho12=0.00710698898070406, rho22=-0.008230542254959171, rho32=0.000609542602247143, rho42=0.00114916775392305, rho03=0.0013415037643754, rho13=-0.000362007479155809, rho23=0.000358809384119286, rho33=6.481839543575269e-05, rho43=-0.000104112551302631, rho04=-1.69907294147191e-05, rho14=5.53820368251513e-06, rho24=-3.15773411117433e-06, rho34=-4.99967306908062e-06, rho44=3.41331223468399e-06
# Parameter values: P=22.533, Cc=0.580647816546116, K0c=0.448321705446756, Tc=1.889
# Data-pt	l-Step	T/Tc	1-T/Tc	l	K	y	e	K/K0	Ks/K0	G	a/a0	ac'/a	cp	cp01	cp02	cp03	cp04	cp05	cp06	cp07
31	1000000	0.99999000000000005	1.0000000000000001e-05	100.00000000219612	9.6544776804979003e+39	                0	-0.07300952157385697	2.15344941331815e+40	0.00080109954104679297	                0	2.6881171477195552e+43	                1	181.54653333371215	163.6110873999024	2.585958383867907	1.2016175638132514	1.0067718501995979	0.026223945056408484	-0.59856041814205896	13.713434609014664
32	1000000	0.99998741074588204	1.2589254117941661e-05	100.00000000219612	1.1269339045174709e+40	                0	-0.073008550470679154	2.5136407708326059e+40	0.00093509346233851276	                0	2.6881171477195552e+43	                1	177.90441001948321	159.96935778244779	2.5857511581279802	1.2015852178349051	1.0067431356550134	0.026222812129659344	-0.59854455459765432	13.713294467885543
33	1000000	0.99998415106807537	1.5848931924611141e-05	100.00000000219612	1.3154317544367005e+40	                0	-0.073007328009150468	2.9340781190541627e+40	0.0010914993498491192	                0	2.6881171477195552e+43	                1	174.42109082809847	156.48652935236444	2.5854951449787325	1.2015444989191639	1.006706988188538	0.026221385948526153	-0.59852458407405429	13.713118041773127
34	1000000	0.99998004737685031	1.995262314968883e-05	100.00000000219612	1.5354598595728617e+40	                0	-0.073005789152623971	3.4248380224884596e+40	0.0012740657621242051	                0	2.6881171477195552e+43	                1	170.78278489750949	152.84883506655541	2.5851790228335356	1.2014932403668304	1.0066614843544519	0.026219590632953572	-0.59849944345981965	13.712895936226126
35	1000000	0.99997488113568489	2.5118864315095822e-05	100.00000000219612	1.792292770559527e+40	                0	-0.073003852050004286	3.9976823080975325e+40	0.0014871681881457202	                0	2.6881171477195552e+43	                1	167.22171876907851	149.28853115317381	2.5847888365696434	1.2014287151739782	1.0066042033099143	0.026217330684704328	-0.59846779454645072	13.712616324712915
36	1000000	0.99996837722339826	3.1622776601683795e-05	100.00000000219612	2.0920876029377573e+40	                0	-0.073001413695692893	4.6663398624301317e+40	0.0017359138780052004	                0	2.6881171477195552e+43	                1	163.56291314885684	145.63067525401453	2.5843074529667036	1.2013474913511306	1.0065320983804797	0.026214485924325837	-0.59842795289790041	13.71226431911756
37	1000000	0.99996018928294461	3.9810717055349695e-05	100.00000000219612	2.4420318118401581e+40	                0	-0.072998344473022933	5.4468355271116064e+40	0.0020262641945245543	                0	2.6881171477195552e+43	                1	159.91972342482649	141.98866868490546	2.5837138702150089	1.2012452500004576	1.0064413355676041	0.026210905126612415	-0.59837779836054694	13.711821177371883
38	1000000	0.99994988127663731	5.0118723362727251e-05	100.00000000219612	2.8505157564160108e+40	                0	-0.072994481296017891	6.3578739498346489e+40	0.0023651774087406516	                0	2.6881171477195552e+43	                1	156.26909314117131	138.33951213548292	2.5829823168478603	1.2011165566314428	1.0063270905495114	0.026206398022978625	-0.59831466249377718	13.711263306130386
39	1000000	0.99993690426555193	6.3095734448019429e-05	100.00000000219612	3.3273342311554905e+40	                0	-0.072989618992427091	7.4212875489553097e+40	0.0027607753461381342	                0	2.6881171477195552e+43	                1	 152.548645075509	134.6208994703581	2.5820811939571913	1.2009545737968534	1.0061832935991568	0.026200725256332442	-0.59823518699902933	13.710561005540436
40	1000000	0.99992056717652755	7.9432823472428221e-05	100.00000000219612	3.8839218657303652e+40	                0	-0.072983499481590289	8.6625592909457101e+40	0.003222537863833252	                0	2.6881171477195552e+43	                1	148.89888352862161	130.97342331656171	2.5809718731412117	1.2007507001492879	1.0060023091989152	0.026193585771514649	-0.59813514572309023	13.709676889522065
41	1000000	0.99990000000000001	           0.0001	100.00000000219612	4.5336281254857155e+40	                0	-0.072975798189842442	1.0111432722526388e+41	0.0037615297871613773	                0	2.6881171477195552e+43	                1	145.25282142995204	127.33020645231062	2.5796070485587803	1.2004941173244286	1.0057745338569544	0.02618460099806225	-0.59800922093886388	13.70856389784206
42	1000000	0.99987410745882055	0.00012589254117941688	100.00000000219612	5.2920386462126075e+40	                0	-0.072966107008806388	1.1802623771576083e+41	0.0043906657050228467	                0	2.6881171477195552e+43	                1	141.51484637496563	 123.595772907583	2.5779289867854813	1.2001712214920603	1.0054878915854997	0.02617329502719384	-0.5978507222782643	13.707162794770666
43	1000000	0.99984151068075389	0.00015848931924611142	100.00000000219612	6.1773508141729169e+40	                0	-0.072953912932713569	1.3776651219447049e+41	0.0051250189118931706	                0	2.6881171477195552e+43	                1	137.84763036140595	119.93296416874999	2.5758672221727856	1.1997649108084518	1.0051272015366253	0.026159069796639629	-0.59765123380642449	13.705399022147885
