r    rhos    gamma 
0.2045   0.990858   0.000309644
0.2095   0.990535   0.000309521
0.2145   0.990206   0.000309411
0.2195   0.989871   0.000309316
0.2245   0.989529   0.000309235
0.2295   0.98918   0.000309169
0.2345   0.988825   0.000309118
0.2395   0.988463   0.000309082
0.2445   0.988094   0.00030906
0.2495   0.987718   0.000309053

# t = 225000
0.0015   0.999941   0.000315003
0.0035   0.999882   0.000315
0.0055   0.999823   0.000314996
0.0075   0.999763   0.00031499
0.0095   0.999702   0.000314982
0.0115   0.999641   0.000314972
0.0135   0.99958   0.000314961
0.0155   0.999518   0.000314948
0.0175   0.999455   0.000314933
0.0195   0.999392   0.000314917
0.0215   0.999329   0.000314899
0.0235   0.999265   0.000314879
0.0255   0.999201   0.000314857
0.0275   0.999136   0.000314834
0.0295   0.99907   0.000314809
0.0315   0.999004   0.000314783
0.0335   0.998938   0.000314755
0.0355   0.998871   0.000314726
0.0375   0.998803   0.000314695
0.0395   0.998735   0.000314663
0.0415   0.998667   0.000314629
0.0435   0.998598   0.000314594
0.0455   0.998528   0.000314557
0.0475   0.998458   0.000314519
0.0495   0.998387   0.00031448
0.0545   0.998208   0.000314376
0.0595   0.998025   0.000314264
0.0645   0.997839   0.000314144
0.0695   0.997649   0.000314018
0.0745   0.997456   0.000313886
0.0795   0.997258   0.000313748
0.0845   0.997057   0.000313605
0.0895   0.996852   0.000313457
0.0945   0.996643   0.000313305
0.0995   0.99643   0.00031315
0.1045   0.996213   0.000312992
0.1095   0.995992   0.000312833
0.1145   0.995767   0.000312671
0.1195   0.995537   0.000312509
0.1245   0.995302   0.000312346
0.1295   0.995064   0.000312184
0.1345   0.99482   0.000312023
0.1395   0.994572   0.000311864
0.1445   0.99432   0.000311707
0.1495   0.994062   0.000311553
0.1545   0.9938   0.000311403
0.1595   0.993532   0.000311256
0.1645   0.993259   0.000311114
0.1695   0.992981   0.000310978
0.1745   0.992698   0.000310847
0.1795   0.99241   0.000310722
0.1845   0.992115   0.000310604
0.1895   0.991815   0.000310494
0.1945   0.99151   0.00031039
0.1995   0.991198   0.000310295
0.2045   0.990881   0.000310208
0.2095   0.990557   0.000310129
0.2145   0.990227   0.000310059
0.2195   0.989891   0.000309998
0.2245   0.989548   0.000309947
0.2295   0.989199   0.000309905
0.2345   0.988843   0.000309872
0.2395   0.98848   0.000309849
0.2445   0.98811   0.000309835
0.2495   0.987733   0.000309831

# t = 250000
0.0015   0.999942   0.00031356
0.0035   0.999883   0.000313558
0.0055   0.999824   0.000313555
0.0075   0.999764   0.000313551
0.0095   0.999704   0.000313546
0.0115   0.999643   0.00031354
0.0135   0.999582   0.000313533
0.0155   0.99952   0.000313525
0.0175   0.999458   0.000313515
0.0195   0.999395   0.000313504
0.0215   0.999332   0.000313493
0.0235   0.999268   0.00031348
0.0255   0.999204   0.000313466
0.0275   0.99914   0.000313452
0.0295   0.999074   0.000313436
0.0315   0.999009   0.000313419
0.0335   0.998943   0.000313401
0.0355   0.998876   0.000313382
0.0375   0.998809   0.000313362
0.0395   0.998741   0.000313342
0.0415   0.998673   0.00031332
0.0435   0.998604   0.000313297
0.0455   0.998535   0.000313274
0.0475   0.998465   0.00031325
0.0495   0.998394   0.000313224
0.0545   0.998216   0.000313158
0.0595   0.998034   0.000313086
0.0645   0.997848   0.00031301
0.0695   0.997659   0.000312929
0.0745   0.997466   0.000312844
0.0795   0.997269   0.000312756
0.0845   0.997069   0.000312664
0.0895   0.996865   0.00031257
0.0945   0.996656   0.000312472
0.0995   0.996444   0.000312373
0.1045   0.996227   0.000312272
0.1095   0.996006   0.00031217
0.1145   0.995781   0.000312066
0.1195   0.995552   0.000311962
0.1245   0.995318   0.000311858
0.1295   0.99508   0.000311755
0.1345   0.994837   0.000311652
0.1395   0.994589   0.00031155
0.1445   0.994336   0.000311449
0.1495   0.994079   0.00031135
0.1545   0.993817   0.000311254
0.1595   0.993549   0.00031116
0.1645   0.993277   0.000311069
0.1695   0.992999   0.000310982
0.1745   0.992715   0.000310898
0.1795   0.992427   0.000310818
0.1845   0.992132   0.000310742
0.1895   0.991832   0.000310671
0.1945   0.991527   0.000310604
0.1995   0.991215   0.000310543
0.2045   0.990897   0.000310487
0.2095   0.990573   0.000310437
0.2145   0.990243   0.000310392
0.2195   0.989906   0.000310353
0.2245   0.989563   0.000310319
0.2295   0.989213   0.000310292
0.2345   0.988857   0.000310271
0.2395   0.988493   0.000310256
0.2445   0.988123   0.000310247
0.2495   0.987745   0.000310244

# t = 275000
0.0015   0.999942   0.000312577
0.0035   0.999883   0.000312576
0.0055   0.999824   0.000312574
0.0075   0.999764   0.000312571
0.0095   0.999704   0.000312568
0.0115   0.999644   0.000312564
0.0135   0.999583   0.000312559
0.0155   0.999521   0.000312554
0.0175   0.999459   0.000312548
0.0195   0.999397   0.000312541
0.0215   0.999334   0.000312533
0.0235   0.999271   0.000312525
0.0255   0.999207   0.000312516
0.0275   0.999142   0.000312507
0.0295   0.999077   0.000312496
0.0315   0.999012   0.000312485
0.0335   0.998946   0.000312474
0.0355   0.998879   0.000312462
0.0375   0.998812   0.000312449
0.0395   0.998745   0.000312435
0.0415   0.998677   0.000312421
0.0435   0.998608   0.000312407
0.0455   0.998539   0.000312392
0.0475   0.998469   0.000312376
0.0495   0.998399   0.00031236
0.0545   0.998221   0.000312316
0.0595   0.998039   0.00031227
0.0645   0.997854   0.000312221
0.0695   0.997666   0.000312168
0.0745   0.997473   0.000312114
0.0795   0.997277   0.000312057
0.0845   0.997077   0.000311997
0.0895   0.996873   0.000311936
0.0945   0.996665   0.000311873
0.0995   0.996453   0.000311809
0.1045   0.996237   0.000311744
0.1095   0.996016   0.000311678
0.1145   0.995792   0.000311611
0.1195   0.995563   0.000311544
0.1245   0.995329   0.000311476
0.1295   0.995091   0.000311409
0.1345   0.994848   0.000311343
0.1395   0.994601   0.000311277
0.1445   0.994348   0.000311212
0.1495   0.994091   0.000311148
0.1545   0.993829   0.000311085
0.1595   0.993562   0.000311024
0.1645   0.993289   0.000310966
0.1695   0.993011   0.000310909
0.1745   0.992728   0.000310854
0.1795   0.992439   0.000310803
0.1845   0.992145   0.000310754
0.1895   0.991845   0.000310707
0.1945   0.991539   0.000310664
0.1995   0.991227   0.000310625
0.2045   0.990909   0.000310588
0.2095   0.990585   0.000310555
0.2145   0.990255   0.000310526
0.2195   0.989918   0.000310501
0.2245   0.989575   0.000310479
0.2295   0.989225   0.000310461
0.2345   0.988868   0.000310447
0.2395   0.988504   0.000310438
0.2445   0.988133   0.000310432
0.2495   0.987756   0.00031043

# t = 300000
0.0015   0.999942   0.000311883
0.0035   0.999883   0.000311883
0.0055   0.999824   0.000311881
0.0075   0.999765   0.00031188
0.0095   0.999705   0.000311878
0.0115   0.999645   0.000311875
0.0135   0.999584   0.000311872
0.0155   0.999522   0.000311868
0.0175   0.999461   0.000311864
0.0195   0.999398   0.00031186
0.0215   0.999336   0.000311855
0.0235   0.999272   0.000311849
0.0255   0.999208   0.000311843
0.0275   0.999144   0.000311837
0.0295   0.999079   0.00031183
0.0315   0.999014   0.000311823
0.0335   0.998948   0.000311816
0.0355   0.998882   0.000311808
0.0375   0.998815   0.000311799
0.0395   0.998747   0.00031179
0.0415   0.99868   0.000311781
0.0435   0.998611   0.000311772
0.0455   0.998542   0.000311762
0.0475   0.998473   0.000311751
0.0495   0.998402   0.000311741
0.0545   0.998225   0.000311712
0.0595   0.998044   0.000311682
0.0645   0.997859   0.000311649
0.0695   0.99767   0.000311615
0.0745   0.997478   0.000311579
0.0795   0.997282   0.000311542
0.0845   0.997083   0.000311503
0.0895   0.996879   0.000311463
0.0945   0.996671   0.000311422
0.0995   0.99646   0.000311379
0.1045   0.996244   0.000311337
0.1095   0.996024   0.000311293
0.1145   0.995799   0.000311249
0.1195   0.99557   0.000311205
0.1245   0.995337   0.000311161
0.1295   0.995099   0.000311117
0.1345   0.994857   0.000311073
0.1395   0.994609   0.00031103
0.1445   0.994357   0.000310987
0.1495   0.9941   0.000310945
0.1545   0.993838   0.000310904
0.1595   0.993571   0.000310864
0.1645   0.993299   0.000310826
0.1695   0.993021   0.000310788
0.1745   0.992738   0.000310753
0.1795   0.992449   0.000310718
0.1845   0.992155   0.000310686
0.1895   0.991855   0.000310656
0.1945   0.991549   0.000310627
0.1995   0.991237   0.000310601
0.2045   0.990919   0.000310577
0.2095   0.990595   0.000310555
0.2145   0.990265   0.000310536
0.2195   0.989928   0.000310519
0.2245   0.989585   0.000310504
0.2295   0.989235   0.000310493
0.2345   0.988878   0.000310484
0.2395   0.988514   0.000310477
0.2445   0.988143   0.000310473
0.2495   0.987765   0.000310472

# t = 325000
0.0015   0.999942   0.000311372
0.0035   0.999884   0.000311372
0.0055   0.999825   0.000311371
0.0075   0.999765   0.00031137
0.0095   0.999706   0.000311368
0.0115   0.999645   0.000311366
0.0135   0.999585   0.000311364
0.0155   0.999523   0.000311362
0.0175   0.999462   0.000311359
0.0195   0.999399   0.000311356
0.0215   0.999337   0.000311353
0.0235   0.999273   0.000311349
0.0255   0.99921   0.000311345
0.0275   0.999146   0.000311341
0.0295   0.999081   0.000311337
0.0315   0.999016   0.000311332
0.0335   0.99895   0.000311327
0.0355   0.998884   0.000311321
0.0375   0.998817   0.000311316
0.0395   0.99875   0.00031131
0.0415   0.998682   0.000311304
0.0435   0.998613   0.000311297
0.0455   0.998544   0.00031129
0.0475   0.998475   0.000311283
0.0495   0.998405   0.000311276
0.0545   0.998228   0.000311257
0.0595   0.998047   0.000311237
0.0645   0.997862   0.000311215
0.0695   0.997674   0.000311192
0.0745   0.997482   0.000311168
0.0795   0.997287   0.000311143
0.0845   0.997087   0.000311117
0.0895   0.996884   0.00031109
0.0945   0.996676   0.000311063
0.0995   0.996465   0.000311034
0.1045   0.996249   0.000311006
0.1095   0.996029   0.000310977
0.1145   0.995805   0.000310947
0.1195   0.995576   0.000310918
0.1245   0.995343   0.000310888
0.1295   0.995106   0.000310859
0.1345   0.994863   0.000310829
0.1395   0.994616   0.0003108
0.1445   0.994364   0.000310772
0.1495   0.994107   0.000310743
0.1545   0.993845   0.000310716
0.1595   0.993578   0.000310689
0.1645   0.993306   0.000310663
0.1695   0.993029   0.000310638
0.1745   0.992746   0.000310614
0.1795   0.992457   0.000310591
0.1845   0.992163   0.000310569
0.1895   0.991863   0.000310548
0.1945   0.991557   0.000310529
0.1995   0.991245   0.000310511
0.2045   0.990928   0.000310495
0.2095   0.990604   0.00031048
0.2145   0.990273   0.000310467
0.2195   0.989937   0.000310456
0.2245   0.989593   0.000310446
0.2295   0.989243   0.000310438
0.2345   0.988887   0.000310431
0.2395   0.988523   0.000310427
0.2445   0.988152   0.000310424
0.2495   0.987774   0.000310424

# t = 350000
0.0015   0.999942   0.000310976
0.0035   0.999884   0.000310975
0.0055   0.999825   0.000310975
0.0075   0.999766   0.000310974
0.0095   0.999706   0.000310973
0.0115   0.999646   0.000310972
0.0135   0.999585   0.00031097
0.0155   0.999524   0.000310969
0.0175   0.999462   0.000310967
0.0195   0.9994   0.000310965
0.0215   0.999337   0.000310962
0.0235   0.999274   0.00031096
0.0255   0.999211   0.000310957
0.0275   0.999147   0.000310954
