T/Tc	1-T/Tc	l	a	K	y	Kr	Kr/K0	a0/Kr
0.99999	1e-05	29.8002	2.21403e+13	0.646214	0.00234727	0.646214	0.864084	3.91511
0.99999	1e-05	30.0002	2.70422e+13	0.646157	0.00233321	0.646157	0.864008	3.91546
0.99999	1e-05	30.2003	3.30327e+13	0.646101	0.0023193	0.646101	0.863933	3.9158
0.99999	1e-05	30.4003	4.03462e+13	0.646046	0.00230556	0.646046	0.863859	3.91613
0.99999	1e-05	30.6003	4.9279e+13	0.645991	0.00229199	0.645991	0.863786	3.91646
0.99999	1e-05	30.8003	6.01895e+13	0.645937	0.00227857	0.645937	0.863713	3.91679
0.99999	1e-05	31.0003	7.35156e+13	0.645884	0.00226531	0.645884	0.863642	3.91711
0.99999	1e-05	31.2003	8.97922e+13	0.645831	0.0022522	0.645831	0.863571	3.91743
0.99999	1e-05	31.4003	1.09672e+14	0.645779	0.00223924	0.645779	0.863502	3.91775
0.99999	1e-05	31.6003	1.33954e+14	0.645727	0.00222643	0.645727	0.863433	3.91806
0.99999	1e-05	31.8003	1.63612e+14	0.645676	0.00221376	0.645676	0.863364	3.91837
0.99999	1e-05	32.0003	1.99836e+14	0.645626	0.00220123	0.645626	0.863297	3.91868
0.99999	1e-05	32.2003	2.44081e+14	0.645576	0.00218884	0.645576	0.863231	3.91898
0.99999	1e-05	32.4003	2.98121e+14	0.645527	0.0021766	0.645527	0.863165	3.91928
0.99999	1e-05	32.6003	3.64125e+14	0.645478	0.00216448	0.645478	0.8631	3.91958
0.99999	1e-05	32.8003	4.44744e+14	0.64543	0.0021525	0.64543	0.863035	3.91987
0.99999	1e-05	33.0003	5.43211e+14	0.645382	0.00214065	0.645382	0.862972	3.92016
0.99999	1e-05	33.2003	6.6348e+14	0.645335	0.00212893	0.645335	0.862909	3.92044
0.99999	1e-05	33.4003	8.10376e+14	0.645289	0.00211733	0.645289	0.862846	3.92073
0.99999	1e-05	33.6003	9.89795e+14	0.645243	0.00210586	0.645243	0.862785	3.92101
0.99999	1e-05	33.8003	1.20894e+15	0.645197	0.00209451	0.645197	0.862724	3.92128
0.99999	1e-05	34.0003	1.4766e+15	0.645152	0.00208329	0.645152	0.862664	3.92156
0.99999	1e-05	34.2003	1.80352e+15	0.645107	0.00207218	0.645107	0.862604	3.92183
0.99999	1e-05	34.4003	2.20283e+15	0.645063	0.00206118	0.645063	0.862545	3.9221
0.99999	1e-05	34.6003	2.69054e+15	0.64502	0.00205031	0.64502	0.862487	3.92236
0.99999	1e-05	34.8003	3.28624e+15	0.644977	0.00203954	0.644977	0.862429	3.92262
0.99999	1e-05	35.0003	4.01382e+15	0.644934	0.00202889	0.644934	0.862372	3.92288
0.99999	1e-05	35.2003	4.90249e+15	0.644892	0.00201834	0.644892	0.862315	3.92314
0.99999	1e-05	35.4003	5.98791e+15	0.64485	0.00200791	0.64485	0.86226	3.92339
0.99999	1e-05	35.6003	7.31365e+15	0.644808	0.00199758	0.644808	0.862204	3.92365
0.99999	1e-05	35.8003	8.93292e+15	0.644768	0.00198735	0.644768	0.862149	3.92389
0.99999	1e-05	36.0003	1.09107e+16	0.644727	0.00197723	0.644727	0.862095	3.92414
0.99999	1e-05	36.2003	1.33263e+16	0.644687	0.00196721	0.644687	0.862042	3.92439
0.99999	1e-05	36.4003	1.62768e+16	0.644647	0.00195728	0.644647	0.861989	3.92463
0.99999	1e-05	36.6003	1.98806e+16	0.644608	0.00194746	0.644608	0.861936	3.92487
0.99999	1e-05	36.8003	2.42822e+16	0.644569	0.00193774	0.644569	0.861884	3.9251
0.99999	1e-05	37.0003	2.96583e+16	0.644531	0.0019281	0.644531	0.861833	3.92534
0.99999	1e-05	37.2003	3.62248e+16	0.644492	0.00191857	0.644492	0.861782	3.92557
0.99999	1e-05	37.4003	4.4245e+16	0.644455	0.00190912	0.644455	0.861731	3.9258
0.99999	1e-05	37.6003	5.4041e+16	0.644417	0.00189977	0.644417	0.861681	3.92603
0.99999	1e-05	37.8003	6.60058e+16	0.64438	0.00189051	0.64438	0.861632	3.92625
0.99999	1e-05	38.0003	8.06197e+16	0.644344	0.00188133	0.644344	0.861583	3.92648
0.99999	1e-05	38.2003	9.84691e+16	0.644307	0.00187225	0.644307	0.861534	3.9267
0.99999	1e-05	38.4003	1.2027e+17	0.644271	0.00186325	0.644271	0.861486	3.92692
0.99999	1e-05	38.6003	1.46899e+17	0.644236	0.00185433	0.644236	0.861439	3.92713
0.99999	1e-05	38.8003	1.79422e+17	0.644201	0.0018455	0.644201	0.861392	3.92735
0.99999	1e-05	39.0003	2.19147e+17	0.644166	0.00183675	0.644166	0.861345	3.92756
0.99999	1e-05	39.2003	2.67667e+17	0.644131	0.00182808	0.644131	0.861299	3.92777
0.99999	1e-05	39.4003	3.26929e+17	0.644097	0.00181949	0.644097	0.861253	3.92798
0.99999	1e-05	39.6003	3.99312e+17	0.644063	0.00181098	0.644063	0.861208	3.92819
0.99999	1e-05	39.8003	4.87721e+17	0.64403	0.00180255	0.64403	0.861163	3.92839
0.99999	1e-05	40.0003	5.95703e+17	0.643996	0.0017942	0.643996	0.861118	3.92859
0.99999	1e-05	40.2004	7.27667e+17	0.643963	0.00178592	0.643963	0.861074	3.9288
0.99999	1e-05	40.4004	8.88774e+17	0.643931	0.00177771	0.643931	0.86103	3.92899
0.99999	1e-05	40.6004	1.08555e+18	0.643898	0.00176959	0.643898	0.860987	3.92919
0.99999	1e-05	40.8004	1.32589e+18	0.643866	0.00176153	0.643866	0.860944	3.92939
0.99999	1e-05	41.0004	1.61945e+18	0.643834	0.00175354	0.643834	0.860902	3.92958
0.99999	1e-05	41.2004	1.978e+18	0.643803	0.00174563	0.643803	0.86086	3.92977
0.99999	1e-05	41.4004	2.41594e+18	0.643772	0.00173779	0.643772	0.860818	3.92996
0.99999	1e-05	41.6004	2.95083e+18	0.643741	0.00173001	0.643741	0.860777	3.93015
0.99999	1e-05	41.8004	3.60416e+18	0.64371	0.00172231	0.64371	0.860736	3.93034
0.99999	1e-05	42.0004	4.40213e+18	0.64368	0.00171467	0.64368	0.860695	3.93053
0.99999	1e-05	42.2004	5.37677e+18	0.64365	0.00170709	0.64365	0.860655	3.93071
0.99999	1e-05	42.4004	6.5672e+18	0.64362	0.00169958	0.64362	0.860615	3.93089
