l	K	y

# DK0 = 2.5	(data set 1)
0	5	2.66237e-24

# DK0 = 0.0390625	(data set 2)
2.4975	0.386732	0.0625557
2.5308	0.386729	0.0625712
2.5641	0.386722	0.0625868
2.5974	0.386713	0.0626026
2.6307	0.386701	0.0626185
2.664	0.386685	0.0626348
2.6973	0.386667	0.0626514
2.7306	0.386646	0.0626684
2.7639	0.386623	0.0626858
2.7972	0.386596	0.0627038
2.8305	0.386567	0.0627223
2.8638	0.386535	0.0627414
2.8971	0.3865	0.0627613
2.9304	0.386462	0.0627818
2.9637	0.386421	0.0628032
2.997	0.386377	0.0628254
3.0303	0.38633	0.0628485
3.0636	0.386279	0.0628726
3.0969	0.386226	0.0628977
3.1302	0.386169	0.062924
3.1635	0.386108	0.0629515
3.1968	0.386044	0.0629802
3.2301	0.385976	0.0630103
3.2634	0.385904	0.0630418
3.2967	0.385827	0.0630749
3.33	0.385747	0.0631095
3.3633	0.385662	0.0631458
3.3966	0.385573	0.0631839
3.4299	0.385478	0.0632238
3.4632	0.385378	0.0632658
3.4965	0.385274	0.0633098
3.5298	0.385163	0.063356
3.5631	0.385047	0.0634046
3.5964	0.384924	0.0634557
3.6297	0.384796	0.0635093
3.663	0.38466	0.0635657
3.6963	0.384517	0.0636249
3.7296	0.384367	0.0636872
3.7629	0.38421	0.0637527
3.7962	0.384044	0.0638215
3.8295	0.383869	0.0638939
3.8628	0.383686	0.0639701
3.8961	0.383493	0.0640502
3.9294	0.383291	0.0641344
3.9627	0.383078	0.0642231
3.996	0.382854	0.0643163
4.0293	0.382619	0.0644145
4.0626	0.382372	0.0645178
4.0959	0.382112	0.0646265
4.1292	0.38184	0.0647409
4.1625	0.381553	0.0648613
4.1958	0.381252	0.0649882
4.2291	0.380935	0.0651217
4.2624	0.380603	0.0652623
4.2957	0.380253	0.0654104
4.329	0.379886	0.0655664
4.3623	0.379501	0.0657307
4.3956	0.379096	0.0659039
4.4289	0.378671	0.0660864
4.4622	0.378224	0.0662787
4.4955	0.377754	0.0664814
4.5288	0.377261	0.066695
4.5621	0.376743	0.0669204
4.5954	0.376199	0.067158
4.6287	0.375628	0.0674087
4.662	0.375028	0.0676731
4.6953	0.374398	0.0679522
4.7286	0.373737	0.0682468
4.7619	0.373042	0.0685577
4.7952	0.372312	0.0688861
4.8285	0.371546	0.0692329
4.8618	0.370742	0.0695993
4.8951	0.369897	0.0699865
4.9284	0.369011	0.0703959
4.9617	0.36808	0.0708287
4.995	0.367103	0.0712865
5.0283	0.366077	0.071771
5.0616	0.365	0.0722837
5.0949	0.36387	0.0728267
5.1282	0.362684	0.0734018
5.1615	0.36144	0.0740113
5.1948	0.360134	0.0746575
5.2281	0.358763	0.0753428
5.2614	0.357326	0.0760701
5.2947	0.355817	0.0768422
5.328	0.354235	0.0776623
5.3613	0.352576	0.078534
5.3946	0.350836	0.079461
5.4279	0.349011	0.0804473
5.4612	0.347098	0.0814975
5.4945	0.345093	0.0826165
5.5278	0.34299	0.0838095
5.5611	0.340787	0.0850824
5.5944	0.338479	0.0864417
5.6277	0.336061	0.0878943
5.661	0.333528	0.089448
5.6943	0.330875	0.0911114
5.7276	0.328098	0.0928937
5.7609	0.325192	0.0948056
5.7942	0.32215	0.0968583
5.8275	0.318968	0.0990649
5.8608	0.315641	0.101439
5.8941	0.312162	0.103998
5.9274	0.308526	0.106758
5.9607	0.304728	0.109739
5.994	0.300762	0.112964

# DK0 = 1.49012e-07	(data set 5)
0	0.296469	0.0400096
0.0333	0.301425	0.041243
0.0666	0.306224	0.0424382
0.0999	0.31086	0.043593
0.1332	0.315327	0.0447054
0.1665	0.31962	0.0457742
0.1998	0.323738	0.0467983
0.2331	0.327676	0.0477771
0.2664	0.331436	0.0487105
0.2997	0.335018	0.0495985
0.333	0.338422	0.0504415
0.3663	0.341651	0.0512402
0.3996	0.344709	0.0519953
0.4329	0.347599	0.0527081
0.4662	0.350326	0.0533796
0.4995	0.352895	0.0540113
