r0    rhos0    gamma0 
0.664   0.979121   1.92041e-05
0.696   0.978296   1.69203e-05
0.728   0.97747   1.49573e-05
0.76   0.976641   1.32681e-05
0.792   0.975805   1.18126e-05
0.872   0.973665   8.98318e-06
0.952   0.97141   6.9999e-06
1.032   0.968975   5.58321e-06
1.112   0.966289   4.54451e-06
1.192   0.963272   3.75696e-06
1.272   0.959845   3.13588e-06
1.352   0.955927   2.62563e-06
1.432   0.951453   2.19067e-06
1.512   0.946386   1.80948e-06
1.592   0.940726   1.47031e-06
1.672   0.934534   1.16797e-06
1.752   0.927936   9.0145e-07
1.832   0.921129   6.71791e-07
1.912   0.914369   4.80395e-07
1.992   0.907941   3.27613e-07
2.072   0.902122   2.11837e-07
2.152   0.897128   1.29228e-07
2.232   0.893085   7.41119e-08
2.312   0.890001   3.99038e-08
2.392   0.887787   2.02012e-08
2.472   0.886287   9.6588e-09
2.552   0.885322   4.39175e-09
2.632   0.884731   1.91398e-09
2.712   0.884381   8.05301e-10
2.792   0.884181   3.28921e-10
2.872   0.88407   1.30888e-10
2.952   0.884009   5.08506e-11
3.032   0.883977   1.93102e-11
3.112   0.883961   7.17167e-12
3.192   0.883952   2.60561e-12
3.272   0.883948   9.26142e-13
3.352   0.883946   3.22033e-13
3.432   0.883945   1.09527e-13
3.512   0.883945   3.64304e-14
3.592   0.883945   1.18481e-14
3.672   0.883944   3.76692e-15
3.752   0.883944   1.17054e-15
3.832   0.883944   3.5544e-16
3.912   0.883944   1.05448e-16
3.992   0.883944   3.05574e-17
4.072   0.883944   8.64826e-18
4.152   0.883944   2.39002e-18
4.232   0.883944   6.44859e-19
4.312   0.883944   1.69846e-19
4.392   0.883944   4.36633e-20
4.472   0.883944   1.09544e-20
4.552   0.883944   2.68181e-21
4.632   0.883944   6.40593e-22
4.712   0.883944   1.49283e-22
4.792   0.883944   3.39373e-23
4.872   0.883944   7.52562e-24
4.952   0.883944   1.62771e-24
5.032   0.883944   3.43359e-25
5.112   0.883944   7.06373e-26
5.192   0.883944   1.41712e-26
5.272   0.883944   2.77234e-27
5.352   0.883944   5.28851e-28
5.432   0.883944   9.8367e-29
5.512   0.883944   1.78393e-29
5.592   0.883944   3.15433e-30
5.672   0.883944   5.43777e-31
5.752   0.883944   9.13924e-32
5.832   0.883944   1.49749e-32
5.912   0.883944   2.39206e-33
5.992   0.883944   3.72502e-34
6.072   0.883944   5.6549e-35
6.152   0.883944   8.36863e-36
6.232   0.883944   1.20729e-36
6.312   0.883944   1.69781e-37
6.392   0.883944   2.32749e-38
6.472   0.883944   3.11027e-39
6.552   0.883944   4.05153e-40
6.632   0.883944   5.14455e-41
6.712   0.883944   6.36766e-42
6.792   0.883944   7.6827e-43
6.872   0.883944   9.03541e-44
6.952   0.883944   1.03581e-44
7.032   0.883944   1.15746e-45
7.112   0.883944   1.26075e-46
7.192   0.883944   1.33858e-47
7.272   0.883944   1.38533e-48
7.352   0.883944   1.3975e-49
7.432   0.883944   1.37417e-50
7.512   0.883944   1.31711e-51
7.592   0.883944   1.23052e-52
7.672   0.883944   1.12059e-53
7.752   0.883944   9.94694e-55
7.832   0.883944   8.6064e-56
7.912   0.883944   7.2584e-57
7.992   0.883944   7.41759e-58
r5       rhos5       gamma5  
0   1   0.00042243 
0.024   0.998727   0.000360971
0.056   0.997494   0.000308565
0.088   0.996298   0.000263869
0.12   0.995139   0.000225739
0.152   0.994014   0.000193204
0.184   0.992922   0.000165436
0.216   0.991862   0.000141732
0.248   0.990831   0.000121493
0.28   0.989829   0.000104208
0.312   0.988853   8.94436e-05
0.344   0.987903   7.6829e-05
0.376   0.986977   6.6049e-05
0.408   0.986074   5.68347e-05
0.44   0.985192   4.89569e-05
0.472   0.984329   4.22201e-05
0.504   0.983485   3.64575e-05
0.536   0.982657   3.15269e-05
0.568   0.981845   2.73069e-05
0.6   0.981046   2.36937e-05
0.632   0.980258   2.0599e-05
